State,Talent,SOC,Occupation,Employment_2025,Employment_2024,Total_State_Employment_2025,Projection_Base,Projection_2034,Annual_Openings,Average_Annual_Salary_USD
Arizona,Digital,15-1252,Software Developers,38050.0,35650.0,3239430,36240.0,43600.0,2670.0,132530.0
Arizona,Digital,15-1253,Software Quality Assurance Analysts and Testers,3890.0,3680.0,3239430,3690.0,4190.0,270.0,101790.0
Arizona,Digital,15-1254,Web Developers,1010.0,1510.0,3239430,1610.0,1810.0,110.0,85410.0
Arizona,Digital,15-1255,Web and Digital Interface Designers,810.0,1430.0,3239430,1750.0,1950.0,130.0,112270.0
Arizona,Digital,15-2031,Operations Research Analysts,2600.0,2170.0,3239430,2050.0,2540.0,180.0,83290.0
Arizona,Digital,15-2041,Statisticians,440.0,360.0,3239430,460.0,540.0,30.0,97620.0
Arizona,Digital,15-2051,Data Scientists,4560.0,4080.0,3239430,4300.0,6030.0,440.0,111950.0
Arizona,Technical,17-1011,"Architects, Except Landscape and Naval",1550.0,1430.0,3239430,1750.0,1990.0,130.0,105840.0
Arizona,Technical,17-1021,Cartographers and Photogrammetrists,400.0,360.0,3239430,240.0,280.0,20.0,84100.0
Arizona,Technical,17-1022,Surveyors,1360.0,1440.0,3239430,1350.0,1530.0,110.0,78630.0
Arizona,Technical,17-2011,Aerospace Engineers,3110.0,1770.0,3239430,1950.0,2320.0,160.0,130150.0
Arizona,Technical,17-2041,Chemical Engineers,80.0,170.0,3239430,220.0,240.0,10.0,
Arizona,Technical,17-2051,Civil Engineers,5940.0,6270.0,3239430,6760.0,7740.0,520.0,97130.0
Arizona,Technical,17-2061,Computer Hardware Engineers,3110.0,3390.0,3239430,3420.0,3940.0,240.0,157800.0
Arizona,Technical,17-2071,Electrical Engineers,5370.0,4970.0,3239430,5720.0,6580.0,410.0,113710.0
Arizona,Technical,17-2072,"Electronics Engineers, Except Computer",2100.0,2360.0,3239430,2500.0,2820.0,170.0,124530.0
Arizona,Technical,17-2112,Industrial Engineers,7520.0,7320.0,3239430,7390.0,9240.0,670.0,119050.0
Arizona,Technical,17-2131,Materials Engineers,580.0,380.0,3239430,420.0,500.0,40.0,116520.0
Arizona,Technical,17-2141,Mechanical Engineers,5050.0,5440.0,3239430,5480.0,6710.0,430.0,107220.0
Arizona,Technical,17-2199,"Engineers, All Other",1720.0,2660.0,3239430,3090.0,3450.0,220.0,112450.0
Arizona,Technical,17-3011,Architectural and Civil Drafters,2120.0,2600.0,3239430,2640.0,3040.0,280.0,69550.0
Arizona,Technical,17-3012,Electrical and Electronics Drafters,570.0,530.0,3239430,570.0,590.0,50.0,77740.0
Arizona,Technical,17-3013,Mechanical Drafters,630.0,720.0,3239430,810.0,860.0,80.0,72030.0
Arizona,Technical,17-3023,Electrical and Electronic Engineering Technologists and Technicians,2260.0,2360.0,3239430,2340.0,2540.0,240.0,78830.0
Arizona,Technical,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,120.0,150.0,3239430,150.0,160.0,10.0,79560.0
Arizona,Technical,17-3027,Mechanical Engineering Technologists and Technicians,730.0,630.0,3239430,630.0,680.0,60.0,71680.0
Arizona,Technical,17-3031,Surveying and Mapping Technicians,700.0,740.0,3239430,690.0,770.0,100.0,57060.0
Arizona,Technical,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",13490.0,12140.0,3239430,12430.0,13880.0,1200.0,79000.0
Arizona,Technical,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",,580.0,3239430,570.0,630.0,50.0,81310.0
Arizona,Technical,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",10860.0,10850.0,3239430,11460.0,14600.0,1390.0,60900.0
Arizona,Technical,49-9041,Industrial Machinery Mechanics,5020.0,4450.0,3239430,4900.0,6340.0,600.0,74230.0
Arizona,Technical,49-9044,Millwrights,450.0,890.0,3239430,730.0,780.0,70.0,63360.0
Arizona,Technical,49-9051,Electrical Power-Line Installers and Repairers,3360.0,1520.0,3239430,2090.0,2300.0,180.0,83210.0
Arizona,Technical,49-9081,Wind Turbine Service Technicians,80.0,230.0,3239430,320.0,430.0,50.0,71030.0
Arizona,Technical,51-1011,First-Line Supervisors of Production and Operating Workers,8720.0,8950.0,3239430,9400.0,10640.0,1080.0,77690.0
Arizona,Technical,51-4041,Machinists,4330.0,5280.0,3239430,5440.0,6210.0,650.0,59750.0
Arizona,Technical,51-4111,Tool and Die Makers,310.0,260.0,3239430,270.0,290.0,30.0,62290.0
Arizona,Technical,51-4121,"Welders, Cutters, Solderers, and Brazers",7270.0,7630.0,3239430,8670.0,10210.0,1060.0,59040.0
Arizona,Technical,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",640.0,620.0,3239430,640.0,630.0,60.0,45920.0
Arizona,Technical,51-8013,Power Plant Operators,390.0,890.0,3239430,1110.0,940.0,80.0,89350.0
Arizona,Technical,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",1400.0,1380.0,3239430,1370.0,1580.0,160.0,52170.0
Arizona,Technical,51-9141,Semiconductor Processing Technicians,2270.0,3730.0,3239430,3740.0,4410.0,500.0,72800.0
Arkansas,Digital,15-1211,Computer Systems Analysts,4100.0,3600.0,1303630,3570.0,4030.0,250.0,85030.0
Arkansas,Digital,15-1212,Information Security Analysts,1460.0,1010.0,1303630,970.0,1320.0,90.0,102980.0
Arkansas,Digital,15-1241,Computer Network Architects,910.0,960.0,1303630,930.0,1070.0,60.0,119000.0
Arkansas,Digital,15-1242,Database Administrators,420.0,600.0,1303630,650.0,660.0,40.0,90420.0
Arkansas,Digital,15-1243,Database Architects,360.0,330.0,1303630,320.0,370.0,20.0,113190.0
Arkansas,Digital,15-1244,Network and Computer Systems Administrators,1750.0,1690.0,1303630,1740.0,1720.0,80.0,87020.0
Arkansas,Digital,15-1251,Computer Programmers,1050.0,1140.0,1303630,1160.0,1140.0,60.0,112070.0
Arkansas,Digital,15-1252,Software Developers,6050.0,6390.0,1303630,6250.0,7500.0,460.0,109590.0
Arkansas,Digital,15-1254,Web Developers,400.0,430.0,1303630,470.0,510.0,30.0,63190.0
Arkansas,Digital,15-2031,Operations Research Analysts,210.0,140.0,1303630,140.0,180.0,10.0,65060.0
Arkansas,Digital,15-2041,Statisticians,570.0,,1303630,,,,109740.0
Arkansas,Digital,15-2051,Data Scientists,530.0,470.0,1303630,490.0,710.0,50.0,116320.0
Arkansas,Technical,17-1011,"Architects, Except Landscape and Naval",720.0,870.0,1303630,980.0,1070.0,70.0,83980.0
